std_name,product_id,period,sku_raw,price,raw_val
AULA F108 Pro 게이밍 기계식 키보드 트라이 모드 커스텀 멀티 노브 스크린 RGB e스포츠 무선 키보드 TFT 스마트 디스플레이 탑재,1005008489394609,11月,F108 Pro  Blue|F108 Pro Red Mix|F108 Pro  Gray|F108 Pro Gray Mix|F108 Pro Yellow Mix,32.6,$32.60
"에디파이어 MR3 2.0 모니터 스피커 시스템, 고해상도 오디오, 블루투스 V5.4 밸런스드 TRS RCA AUX 입력, 앱 EQ 룸 보상 설정",1005007877281342,11月,"Black:200|White,:300|可售381",46.04,$46.04
에디파이어 ES60 휴대용 블루투스 스피커 미니 사운드 박스 무선 사운드 바 36W RMS 야외 IP66 방수 긴 배터리 수명,1005008564373536,11月,Black150|Ivory150|可售234,58.52,$58.52
에디파이어 W820NB Plus  ANC 무선 헤드폰,1005009870146739,11月,Dark Gray:200|Ivory：200|Navy100|Smoky Pink100|可售314,37.49,$37.49
유그린 145W 보조배터리,1005005642344316,11月,"25000mAh,CHINA",35.53,$35.53
유그린 울트라 슬림 30W 10000mAh 파워뱅크 마그네틱 무선 충전 내장 케이블 파워뱅크 (아이폰 17 프로 맥스용 MagSafe 호환),1005007906808218,11月,"Qi2 15W BK 300|Qi2 15W VT,200",29.59,$29.59
Hagibis 썬더볼트 SSD 인클로저,1005006484705885,11月,Black,29.4,$29.40
"Ulanzi TT88 1.44M 오버헤드 셀카 스틱 전화 삼각대, 마그네틱 클램프 포함 라이브 스트리밍 Vlog 용 무선 원격 확장 삼각대",1005008108618534,11月,"White TT88,300|Black TT88,200",13.57,$13.57
Xiaomi Mijia 휴대용 자동차 진공 청소기 가정용 자동차 용품에 대 한 미니 핸드 헬드 무선 청소 기계 13000Pa 사이클론 흡입,1005007882649074,11月,Vacuum Cleane,20.99,$20.99
Youpin Worx 4V 미니 전기 스크루 드라이버 세트 WX242 스마트 무선 전기 스크류 드라이버 USB 충전식 30 비트 세트 드릴 도구,1005006080110999,11月,WX242,18.87,$18.87
야외 캠핑 테이블,1005009983934598,11月,Silver,39.78,$39.78
접이식 침대,1005009990801915,11月,80CM,34.32,$34.32
베이스어스 USB C 허브 듀얼 HDMI 8K 4K 어댑터 10-in-1 USB 3.2 10Gbps 분배기 RJ45 SD TF 타입 C PD 100W 맥북 프로 에어 허브용,1005009206119272,11月,10-in-1 2HDMI 8K 4K,24.19,$24.19
TELESIN 스마트 폰 자기 채우기 라이트 미니 셀카 라이트 3 가지 모드 Iphone 용 조정 가능한 밝기 XIAOMI HUAWEI SAMSUNG Phone,1005008455697255,11月,Fill-in light,8.28,$8.28
